season,season_type,week,game_id,game_date,home_team,away_team,team,opponent,off_plays,off_epa_total,off_epa_per_play,off_success_rate,yards_gained,pass_attempts,rush_attempts,turnovers,touchdowns,def_plays,def_epa_allowed_total,def_epa_allowed_per_play,def_success_allowed,yards_allowed,takeaways,penalties_committed,penalty_yards_committed,is_home,home_away,pass_rate,points_for,points_against,opp_season_off_epa_per_play,opp_season_def_epa_allowed_per_play,off_adj_epa,def_adj_epa,point_diff,turnover_margin,opp_penalty_yards_committed,penalty_yards_margin,success_margin,estat_game
2005,REG,1,2005_01_ARI_NYG,2005-09-11,NYG,ARI,ARI,NYG,87,-14.725109459348637,-0.169254131716651,0.3563218390804598,320.0,60.0,20.0,2.0,1.0,54,-2.220081450301211,-0.041112619450022425,0.37037037037037035,278.0,2.0,8.0,46.0,0,Away,0.75,19.0,42.0,-0.006016698158385068,-0.05253713984423599,-0.116716991872415,0.035095921291637355,-23.0,0.0,22.0,-24.0,-0.01404853128991057,-0.048453281361302114
2005,REG,1,2005_01_PHI_ATL,2005-09-12,ATL,PHI,ATL,PHI,68,-13.689174138475174,-0.2013113843893408,0.3235294117647059,322.0,27.0,37.0,3.0,2.0,69,-14.902434626036372,-0.215977313420817,0.3333333333333333,301.0,3.0,5.0,68.0,1,Home,0.421875,14.0,10.0,-0.12620617843122373,-0.05758168510682442,-0.1437296992825164,0.08977113498959327,4.0,0.0,55.0,-13.0,-0.009803921568627416,-0.030363817874031994
2005,REG,1,2005_01_IND_BAL,2005-09-11,BAL,IND,BAL,IND,83,-14.421081758113605,-0.17374797298932054,0.3493975903614458,401.0,57.0,21.0,4.0,2.0,66,3.6561143016435045,0.0553956712370228,0.45454545454545453,342.0,0.0,7.0,35.0,1,Home,0.7307692307692307,7.0,24.0,0.15294078150528412,-0.07769899394481443,-0.09604897904450611,0.09754511026826132,-17.0,-4.0,30.0,-5.0,-0.10514786418400873,-0.2929163339288988
2005,REG,1,2005_01_HOU_BUF,2005-09-11,BUF,HOU,BUF,HOU,72,-4.6990155403781415,-0.06526410472747418,0.3888888888888889,318.0,29.0,34.0,0.0,1.0,53,-18.651752710458833,-0.35191986246148743,0.33962264150943394,120.0,5.0,10.0,71.0,1,Home,0.4603174603174603,22.0,7.0,-0.11623304964215882,0.10726122105082003,-0.17252532577829421,0.23568681281932863,15.0,5.0,38.0,-33.0,0.04926624737945495,0.3603912195543593
2005,REG,1,2005_01_NO_CAR,2005-09-11,CAR,NO,CAR,NO,65,4.46191230061512,0.06864480462484801,0.4153846153846154,350.0,32.0,25.0,3.0,2.0,64,6.9145638523221535,0.10804006019253365,0.46875,291.0,1.0,9.0,66.0,1,Home,0.5614035087719298,20.0,23.0,-0.10831861127200039,0.022087568033718016,0.046557236591129994,-0.21635867146453402,-3.0,-2.0,64.0,-2.0,-0.05336538461538459,-0.2144571124109001
2005,REG,1,2005_01_CHI_WAS,2005-09-11,WAS,CHI,CHI,WAS,56,-11.959048564895067,-0.21355443865884047,0.3392857142857143,166.0,31.0,18.0,2.0,1.0,69,-2.2088003081636285,-0.03201159866903809,0.391304347826087,326.0,2.0,8.0,86.0,0,Away,0.6326530612244898,7.0,9.0,-0.02902615541426999,-0.08131417929305904,-0.13224025936578143,0.0029854432547681,-2.0,0.0,30.0,-56.0,-0.05201863354037267,-0.0905037897984426
2005,REG,1,2005_01_CIN_CLE,2005-09-11,CLE,CIN,CIN,CLE,74,6.077649984978024,0.08213040520240572,0.5945945945945946,420.0,36.0,32.0,2.0,3.0,64,-13.155927538226491,-0.20556136778478892,0.453125,373.0,3.0,4.0,30.0,0,Away,0.5294117647058824,27.0,13.0,-0.13450195175213103,-0.021840188237397078,0.1039705934398028,0.07105941603265789,14.0,1.0,39.0,9.0,0.14146959459459463,0.15955896324844374
2005,REG,1,2005_01_CIN_CLE,2005-09-11,CLE,CIN,CLE,CIN,64,-13.155927538226491,-0.20556136778478892,0.453125,373.0,43.0,18.0,3.0,1.0,74,6.077649984978024,0.08213040520240572,0.5945945945945946,420.0,2.0,5.0,39.0,1,Home,0.7049180327868853,13.0,27.0,0.07037971660267286,0.021429527459773376,-0.22699089524456229,-0.011750688599732856,-14.0,-1.0,30.0,-9.0,-0.14146959459459463,-0.18504359299717751
2005,REG,1,2005_01_DAL_SD,2005-09-11,LAC,DAL,DAL,LAC,71,15.649305067403462,0.2204127474282178,0.43661971830985913,301.0,28.0,33.0,1.0,4.0,66,3.3691679908393026,0.05104799986120156,0.4090909090909091,291.0,2.0,8.0,46.0,0,Away,0.45901639344262296,28.0,24.0,0.07489884469111259,-0.04315595635392787,0.26356870378214564,0.023850844829911032,4.0,1.0,62.0,16.0,0.027528809218950012,0.19732070036671767
2005,REG,1,2005_01_DEN_MIA,2005-09-11,MIA,DEN,DEN,MIA,74,-20.816397373895292,-0.28130266721480124,0.40540540540540543,312.0,49.0,20.0,3.0,2.0,79,2.1845298740318526,0.027652276886479147,0.4177215189873418,426.0,2.0,5.0,53.0,0,Away,0.7101449275362319,10.0,34.0,-0.06508062160298309,-0.039133892364791735,-0.2421687748500095,-0.09273289848946223,-24.0,-1.0,69.0,16.0,-0.01231611358193635,-0.19559228069398235
2005,REG,1,2005_01_GB_DET,2005-09-11,DET,GB,DET,GB,64,-4.033744238020482,-0.06302725371907003,0.421875,255.0,30.0,30.0,0.0,2.0,72,-21.057485217764537,-0.2924650724689519,0.4166666666666667,217.0,3.0,2.0,18.0,1,Home,0.5,17.0,3.0,-0.06543723777931267,-0.05794366881840478,-0.005083584900665253,0.22702783468963927,14.0,3.0,90.0,72.0,0.005208333333333315,0.342498533248923
2005,REG,1,2005_01_GB_DET,2005-09-11,DET,GB,GB,DET,72,-21.057485217764537,-0.2924650724689519,0.4166666666666667,217.0,48.0,16.0,3.0,0.0,64,-4.033744238020482,-0.06302725371907003,0.421875,255.0,0.0,13.0,90.0,0,Away,0.75,3.0,17.0,-0.11288018437056992,-0.02533727570234137,-0.2671277967666106,-0.049852930651499885,-14.0,-3.0,18.0,-72.0,-0.005208333333333315,-0.3805131243005776
2005,REG,1,2005_01_HOU_BUF,2005-09-11,BUF,HOU,HOU,BUF,53,-18.651752710458833,-0.35191986246148743,0.33962264150943394,120.0,26.0,23.0,5.0,1.0,72,-4.6990155403781415,-0.06526410472747418,0.3888888888888889,318.0,0.0,6.0,38.0,0,Away,0.5306122448979592,7.0,22.0,-0.10646784705976044,0.039936187427266526,-0.39185604988875394,-0.041203742332286256,-15.0,-5.0,71.0,33.0,-0.04926624737945495,-0.5083505416263616
2005,REG,1,2005_01_IND_BAL,2005-09-11,BAL,IND,IND,BAL,66,3.6561143016435045,0.0553956712370228,0.45454545454545453,342.0,36.0,23.0,0.0,2.0,83,-14.421081758113605,-0.17374797298932054,0.3493975903614458,401.0,4.0,5.0,30.0,0,Away,0.6101694915254238,24.0,7.0,-0.11724580628915389,-0.1008072503666995,0.1562029216037223,0.05650216670016665,17.0,4.0,35.0,5.0,0.10514786418400873,0.37859682173995646
2005,REG,1,2005_01_SEA_JAX,2005-09-11,JAX,SEA,JAX,SEA,69,1.6537580484041463,0.02396750794788618,0.4492753623188406,363.0,35.0,30.0,0.0,2.0,64,-4.716441052965824,-0.073694391452591,0.46875,325.0,4.0,6.0,31.0,1,Home,0.5384615384615384,26.0,14.0,0.12833737438435944,-0.0840454350322856,0.10801294298017178,0.20203176583695043,12.0,4.0,26.0,-5.0,-0.019474637681159424,0.399070419758733
2005,REG,1,2005_01_NYJ_KC,2005-09-11,KC,NYJ,KC,NYJ,64,12.377084052622276,0.19339193832222307,0.5,390.0,27.0,33.0,1.0,3.0,74,-8.832227137480938,-0.11935442077676943,0.3918918918918919,390.0,3.0,3.0,21.0,1,Home,0.45,27.0,7.0,-0.14283579912254873,-0.009525110213644787,0.20291704853586787,-0.023481378345779305,20.0,2.0,70.0,49.0,0.10810810810810811,0.25198507888684624
2005,REG,1,2005_01_STL_SF,2005-09-11,SF,LA,LA,SF,93,10.434863563856098,0.11220283401995804,0.43010752688172044,405.0,63.0,27.0,1.0,2.0,46,-0.19548442396692467,-0.0042496613905853185,0.34782608695652173,219.0,2.0,6.0,38.0,0,Away,0.7,,,-0.21643788491675012,0.05379527407560608,0.058407559944351956,-0.2121882235261648,,1.0,20.0,-18.0,0.08228143992519871,0.00591587855979475
2005,REG,1,2005_01_DAL_SD,2005-09-11,LAC,DAL,LAC,DAL,66,3.3691679908393026,0.05104799986120156,0.4090909090909091,291.0,37.0,26.0,2.0,3.0,71,15.649305067403462,0.2204127474282178,0.43661971830985913,301.0,1.0,8.0,62.0,1,Home,0.5873015873015873,,,-0.027875724272923987,-0.07163410885417767,0.12268210871537924,-0.24828847170114177,,-1.0,46.0,-16.0,-0.027528809218950012,-0.1325954261162
2005,REG,1,2005_01_OAK_NE,2005-09-08,NE,LV,LV,NE,75,-1.877348253741852,-0.02503131004989136,0.3466666666666667,351.0,42.0,22.0,1.0,3.0,71,6.603250537300559,0.09300352869437407,0.4225352112676056,380.0,0.0,13.0,129.0,0,Away,0.65625,,,0.05226135640785689,-0.019732550512101345,-0.005298759537790014,-0.040742172286517185,,-1.0,36.0,-93.0,-0.07586854460093895,-0.1518032271898168
2005,REG,1,2005_01_DEN_MIA,2005-09-11,MIA,DEN,MIA,DEN,79,2.1845298740318526,0.027652276886479147,0.4177215189873418,426.0,36.0,33.0,2.0,3.0,74,-20.816397373895292,-0.28130266721480124,0.40540540540540543,312.0,3.0,11.0,69.0,1,Home,0.5217391304347826,34.0,10.0,0.06358991991576646,-0.06848333275269536,0.0961356096391745,0.3448925871305677,24.0,1.0,53.0,-16.0,0.01231611358193635,0.23804289006609053
2005,REG,1,2005_01_TB_MIN,2005-09-11,MIN,TB,MIN,TB,61,-21.912624927109597,-0.3592233594608131,0.32786885245901637,248.0,35.0,16.0,5.0,0.0,67,-6.662542593672288,-0.09944093423391476,0.29850746268656714,347.0,2.0,7.0,50.0,1,Home,0.6862745098039216,13.0,24.0,-0.08285834394520768,-0.11694023605549589,-0.24228312340531719,0.01658259028870708,-11.0,-3.0,89.0,39.0,0.02936138977244923,-0.27394407426939915
