season,team,games,points_for,points_against,point_diff,off_plays,off_epa_total,off_epa_per_play,off_adj_epa,off_success_rate,yards_gained,pass_attempts,rush_attempts,pass_rate,turnovers,def_epa_allowed_per_play,def_adj_epa,def_success_allowed,yards_allowed,takeaways,penalties_committed,penalty_yards_committed,penalty_yards_margin,turnover_margin,estat_raw,point_diff_per_game,turnover_margin_per_game,penalty_yards_margin_per_game,success_margin,yards_per_play,off_z,def_z,pd_z,success_z,turnover_z,penalty_z,offense_estat,defense_estat,overall_estat,schedule_strength,schedule_strength_z,overall_rank,offense_rank,defense_rank,sos_rank
2005,SEA,19,516.0,316.0,200.0,1294,158.56164363994293,0.12833737438435944,0.15979679445078,0.4777232557192999,7062.0,608.0,605.0,0.498613258443198,17.0,-0.0840454350322856,0.029539308991053215,0.3689649207350284,5920.0,31.0,88.0,786.0,142.0,14.0,0.1426734327698973,10.526315789473685,0.7368421052631579,7.473684210526316,0.10875833498427151,5.457496136012365,1.8701624575986189,0.5635706648190643,1.7579889567216158,2.456445273392106,1.2427982637714086,0.7854041561874344,128.0524368639793,108.45355997228596,122.09264611587977,97.94580656355943,-1.3740339932018986,1,2,13,30
2005,IND,17,457.0,268.0,189.0,1108,173.07059788386468,0.15294078150528412,0.1667887663958192,0.49290393453650305,6135.0,581.0,451.0,0.5647621654232918,16.0,-0.07769899394481443,0.040135439043667974,0.43133689249726526,5214.0,32.0,79.0,541.0,148.0,16.0,0.16003226873265983,11.117647058823529,0.9411764705882353,8.705882352941176,0.061567042039237796,5.537003610108303,1.9503696566614301,0.7539114350738018,1.8550979866888908,1.4078975318025668,1.5775671001123854,0.9108275160171039,129.25554484992145,111.30867152610702,121.57732266674003,97.86326925824426,-1.4174624014504937,2,1,12,31
2005,PIT,20,496.0,320.0,176.0,1274,78.11610162064865,0.06640362789504439,0.104124153903554,0.4256256651911426,6516.0,512.0,663.0,0.4312698067718498,24.0,-0.08588615262437502,0.06997136139955615,0.3812112846215476,5878.0,34.0,102.0,862.0,157.0,10.0,0.11378964417820356,8.8,0.5,7.85,0.04441438056959501,5.114599686028257,1.2315233729707329,1.2898611086132388,1.4744916001260522,1.026780946012209,0.8547707489216398,0.8237087023866714,118.472850594561,119.34791662919858,118.24227159838068,102.31659418219964,0.9257303175590771,3,6,2,7
2005,DEN,18,439.0,305.0,134.0,1187,78.74872061413878,0.06358991991576646,0.097921504854481,0.43374167327656554,6385.0,550.0,575.0,0.4898341412604027,20.0,-0.06848333275269536,0.05532503706163943,0.3940192924240182,5785.0,35.0,88.0,667.0,248.0,15.0,0.1318708548517029,7.444444444444445,0.8333333333333334,13.777777777777779,0.03972238085254737,5.37910699241786,1.1603707552390887,1.0267657481337924,1.2518808709294,0.9225289664663336,1.4008835475990922,1.427087152345593,117.40556132858633,115.40148622200688,116.84765334285294,103.09637006431016,1.336022672287551,4,7,5,3
2005,CAR,19,457.0,314.0,143.0,1206,6.072949991004002,-0.003983098244703323,0.04768860265803572,0.4070522320433232,5956.0,574.0,553.0,0.5118832640668536,29.0,-0.13188516206356976,0.06693207801973426,0.3661779598932929,5339.0,42.0,99.0,775.0,239.0,13.0,0.10537780474926893,7.526315789473684,0.6842105263157895,12.578947368421053,0.04087427215003031,4.938640132669984,0.5841326899774538,1.235265748168888,1.2653258675159105,0.9481229466935588,1.1565699271381267,1.3050602374917688,108.7619903496618,118.52898622253332,114.96922833399617,98.81133043887145,-0.918623872136949,5,9,3,25
2005,LAC,16,0.0,0.0,0.0,1101,82.94418377471075,0.07489884469111259,0.10936343129761515,0.4424733777823767,5570.0,553.0,464.0,0.5411783175787935,24.0,-0.04315595635392787,0.04106951954300343,0.406716586468524,4955.0,20.0,92.0,735.0,15.0,-4.0,0.04681135946763272,0.0,-0.25,0.9375,0.03575679131385273,5.059037238873751,1.2916248390798613,0.7706905422422314,0.029346538455983645,0.8344171624580701,-0.3739830481026276,0.12009704694019714,119.37437258619792,111.56035813363347,110.88524901362136,104.69362913629219,2.176447723625611,6,4,11,1
2005,KC,16,403.0,325.0,78.0,1128,89.94502888873711,0.08530792348303068,0.10519492092409959,0.44769357023964795,6210.0,538.0,504.0,0.5144052746941815,21.0,-0.01363872213750569,-0.006323708424896907,0.4123300727821447,5264.0,28.0,97.0,731.0,-25.0,7.0,0.07277233474543139,4.875,0.4375,-1.5625,0.03536349745750328,5.50531914893617,1.2438064919880691,-0.08064513139292567,0.8299240584152545,0.8256785295637226,0.7523745991696176,-0.13437371452326552,118.65709737982104,98.79032302910612,109.68885710322347,101.11576671728177,0.29389450485060054,7,5,19,12
2005,NYG,17,422.0,337.0,85.0,1194,10.699006560392169,-0.006016698158385068,0.03679311425653308,0.402897778236178,5941.0,609.0,469.0,0.5650768231616116,27.0,-0.05253713984423599,0.01682982902427927,0.37797472689962164,5584.0,34.0,128.0,974.0,84.0,7.0,0.05572971774009823,5.0,0.4117647058823529,4.9411764705882355,0.024923051336556368,4.97571189279732,0.45914697579335967,0.3352672942110422,0.8504516871321589,0.5937012829547544,0.7102114786834908,0.5276244869897719,106.88720463690039,105.02900941316564,107.80736146947842,101.65678178773136,0.5785587940275897,8,10,15,10
2005,WAS,18,386.0,323.0,63.0,1216,-23.465694572045678,-0.02902615541426999,0.02551391469217916,0.38624210464840747,5720.0,571.0,562.0,0.49987612469566794,27.0,-0.08131417929305904,0.05108017734457158,0.37484668023579054,5359.0,31.0,106.0,874.0,-167.0,4.0,0.04176606814485087,3.5,0.2222222222222222,-9.277777777777779,0.011395424412616928,4.703947368421052,0.3297595852490978,0.9505143370848478,0.6041201425293062,0.29312967800458173,0.39967675002376307,-0.9196987589285629,104.94639377873646,114.25771505627272,107.78584089271111,103.65773754679677,1.6313957295229586,9,12,6,2
2005,JAX,17,364.0,297.0,67.0,1159,-8.82721022465627,-0.008158951628327039,0.0030811593660272827,0.4088451699486818,5465.0,564.0,498.0,0.5348680372071607,18.0,-0.07434908905636946,0.04276501147723965,0.38919088626996023,4976.0,26.0,114.0,884.0,75.0,8.0,0.05589213199929659,3.9411764705882355,0.47058823529411764,4.411764705882353,0.019654283678721574,4.715271786022433,0.07242610535025694,0.8011470616621285,0.676570596824263,0.4766340427115716,0.8065843255089234,0.4737365610328034,101.08639158025386,112.01720592493193,107.58588468476049,98.1677908486833,-1.2572331826796792,10,14,8,27
2005,NE,18,420.0,368.0,52.0,1232,69.21481068222904,0.05226135640785689,0.08965930035765811,0.430849730353202,6369.0,660.0,478.0,0.5853122400422088,27.0,-0.019732550512101345,-0.002347663675330572,0.39328793655698074,5881.0,20.0,105.0,870.0,53.0,-7.0,0.013225278496997582,2.888888888888889,-0.3888888888888889,2.9444444444444446,0.037561793796221266,5.169642857142857,1.0655923027533767,-0.009222506675988751,0.5037628465799959,0.8745226810471769,-0.601530047551566,0.3243805193372547,115.98388454130065,99.86166239986017,107.36917120328201,102.22267875818369,0.8763151184629807,11,8,16,8
2005,DAL,16,325.0,308.0,17.0,1159,-31.828240581470727,-0.027875724272923987,0.015212770308168228,0.39736227307034055,5211.0,547.0,514.0,0.5157194411343837,30.0,-0.07163410885417767,0.041322491733603195,0.3899803756897428,4818.0,25.0,86.0,619.0,298.0,-5.0,0.012652294554768344,1.0625,-0.3125,18.625,0.007381897380597746,4.496117342536669,0.21159178585320174,0.7752347410556374,0.20383138254967087,0.2039527463588647,-0.47637919785464994,1.9204776842941953,103.17387678779802,111.62852111583456,105.72225046131899,102.59101027599982,1.0701190167785644,12,13,10,6
2005,CHI,17,281.0,231.0,50.0,1075,-150.04405009085295,-0.14101099253549185,-0.09005719354072185,0.36140584630763367,4395.0,491.0,503.0,0.49169926202643455,27.0,-0.15096202011900584,0.08599614158960499,0.36143446828217446,4961.0,32.0,95.0,756.0,131.0,5.0,0.023584481727981527,2.9411764705882355,0.29411764705882354,7.705882352941177,-2.8621974540787853e-05,4.088372093023255,-0.995994430472147,1.5777179949850777,0.5123495670890279,0.03929772529625992,0.5174657850326253,0.8090392114317189,85.0600835429178,123.66576992477616,104.76636916760361,98.76083661402994,-0.9451920576486595,13,28,1,26
2005,TB,17,310.0,291.0,19.0,1119,-97.23432295377731,-0.08285834394520768,-0.04161159936136244,0.3928493329027007,4976.0,564.0,468.0,0.5429424020542406,25.0,-0.11694023605549589,0.04586222908840715,0.3666501904226823,4573.0,29.0,106.0,807.0,-133.0,4.0,0.01609663672705502,1.1176470588235294,0.23529411764705882,-7.823529411764706,0.026199142480018367,4.446827524575514,-0.4402591605649294,0.8567831082969737,0.21288768933654045,0.6220548711494661,0.4210929382071925,-0.7716732833060257,93.39611259152606,112.8517466244546,103.84787313351755,97.31817683415923,-1.7042720596527683,14,19,7,32
2005,CIN,17,438.0,381.0,57.0,1158,91.3286710528346,0.07037971660267286,0.11490582404602886,0.4573204923529013,6075.0,606.0,462.0,0.567137662123448,22.0,0.021429527459773376,-0.06986554458332468,0.4733483881384528,5795.0,42.0,101.0,851.0,-5.0,20.0,0.09858979279476182,3.3529411764705883,1.1764705882352942,-0.29411764705882354,-0.016027895785551527,5.246113989637306,1.3552034406461477,-1.2220620428256939,0.579969991097654,-0.3161916324788682,1.9630584874141168,-0.00526722525136168,120.32805160969221,81.66906935761459,103.25147875750602,100.44696403905866,-0.058007409522762024,15,3,27,18
2005,BAL,16,265.0,299.0,-34.0,1132,-129.56956487692955,-0.11724580628915389,-0.08406517963191437,0.38062545917825263,4702.0,600.0,446.0,0.574798596167337,35.0,-0.1008072503666995,0.06501657356408602,0.3814967179366512,4581.0,24.0,108.0,776.0,-84.0,-11.0,-0.05898156830297119,-2.125,-0.6875,-5.25,-0.000871258758398552,4.1537102473498235,-0.9272580773876866,1.2008570922063748,-0.3196231497313908,0.020575099965281073,-1.0907560963667837,-0.5097180876818729,86.0911288391847,118.01285638309562,99.18367041406839,100.54669228739012,-0.005533693959627183,16,24,4,17
2005,ATL,16,351.0,341.0,10.0,1070,-19.94890989428194,-0.022449623359718583,0.03413680877060253,0.40582897068304347,5253.0,494.0,513.0,0.49058765054580944,25.0,-0.03124312578991062,-0.034539509704655684,0.44582097367886203,5210.0,29.0,91.0,819.0,36.0,4.0,0.014689719326796889,0.625,0.25,2.25,-0.039992002995818565,4.909345794392523,0.4286756260001398,-0.5874921899205445,0.13198468204050556,-0.8486523667885318,0.4451861499135507,0.25369419670851506,106.4301343900021,91.18761715119183,98.25443101760318,99.69365220766329,-0.45437525346207197,17,11,23,22
2005,GB,16,298.0,344.0,-46.0,1136,-79.0466864851881,-0.06543723777931267,-0.0007825916311639597,0.4088080229401933,5135.0,656.0,392.0,0.6230239247207058,42.0,-0.05794366881840478,-0.004805650555552311,0.406256466916358,4711.0,21.0,103.0,790.0,-5.0,-21.0,-0.094042641272303,-2.875,-1.3125,-0.3125,0.002551556023835333,4.520246478873239,0.02810375282984559,-0.0533759017111879,-0.4427889220328171,0.09662694101085102,-2.1147175938870064,-0.007138333791534199,100.42155629244769,99.19936147433218,96.88374514894699,101.0636642465384,0.2664799029131659,18,15,18,13
2005,MIA,16,318.0,317.0,1.0,1105,-63.289423052033,-0.06508062160298309,-0.046114418232154744,0.39404630448346467,5210.0,577.0,436.0,0.5671634108745637,30.0,-0.039133892364791735,-0.004387570046961964,0.3922590902479884,5079.0,26.0,124.0,981.0,-290.0,-4.0,-0.04839707388809906,0.0625,-0.25,-18.125,0.0017872142354762866,4.714932126696833,-0.4919124698677025,-0.045865823443137395,0.03961035281443583,0.07964395949093635,-0.3739830481026276,-1.8202425092187058,92.62131295198446,99.31201264835293,96.63652855313214,98.167359167911,-1.2574603188666518,19,21,17,28
2005,MIN,16,306.0,344.0,-38.0,1052,-87.62123159810236,-0.08288193087956401,-0.024522264228929905,0.3963548011809184,4626.0,562.0,371.0,0.6054933663079415,27.0,-0.047581803472309184,-0.015729101017976328,0.4133113696992114,5193.0,30.0,112.0,884.0,-29.0,3.0,-0.005758702950591797,-2.375,0.1875,-1.8125,-0.01695656851829297,4.397338403041825,-0.244221802922124,-0.24959640528496072,-0.3606784071651996,-0.33682589858651685,0.34279000016152844,-0.1598207906696118,96.33667295616814,96.25605392072559,96.49644351949503,99.93991064554979,-0.32480218423769625,20,18,21,21
2005,PHI,16,310.0,388.0,-78.0,1111,-135.98815878768718,-0.12620617843122373,-0.08561335857906208,0.3739174106683559,5122.0,661.0,353.0,0.6555555017552761,32.0,-0.05758168510682442,0.041372401098302515,0.3727682052457202,5221.0,24.0,111.0,894.0,-162.0,-8.0,-0.05865646245004026,-4.875,-0.5,-10.125,0.0011492054226356907,4.61026102610261,-0.9450177448999156,0.7761312746837282,-0.7712309815032871,0.06546798214279649,-0.7835676471107168,-1.0059360725356252,85.82473382650127,111.64196912025592,96.37662687335877,103.07756990606738,1.3261306489874432,21,26,9,4
2005,ARI,16,311.0,387.0,-76.0,1160,-104.58179841935544,-0.0959561421542057,-0.070047003610712,0.3903909301696836,5586.0,714.0,357.0,0.668295432445884,35.0,-0.06011189190362729,0.019524382064964915,0.410024947103497,4734.0,26.0,126.0,1013.0,-332.0,-9.0,-0.07399745031168019,-4.75,-0.5625,-20.75,-0.019634016933813392,4.81551724137931,-0.7664509912797628,0.383670182691048,-0.7507033527863828,-0.3963163747764021,-0.8859637968627391,-2.0874368087553417,88.50323513080356,105.75505274036573,93.82708342368873,99.21315014761018,-0.7071995920880387,22,23,14,24
